Kanal,Analiz Türü,Başlık,Title Structure,Keywords,Açıklama
ImanGadzhi,top,The 7 WORST Purchases To Make In Your 20s,guest,"worst, purchases, make","The best purchase you can make in your 20s? Investing in yourself. Here I explain how you can do it: https://youtu.be/uCjcc1TXk5c

Connect With Me On Other Platforms:

Instagram: @ImanGadzhi
Twitter: @GadzhiIman"
ImanGadzhi,latest,Laziest Way to Make Money Online In 2025 ($100/day+),other,"laziest, way, make, money, online",More stuff here: https://www.instagram.com/imangadzhi/
ImanGadzhi,latest,Road to $1 Billion | One Step Closer…,other,"road, billion, one, step",More stuff here: https://www.instagram.com/imangadzhi/
ImanGadzhi,latest,How to succeed if you’re ambitious but lazy,question,"succeed, if, re, ambitious, but, lazy",More stuff here: https://www.instagram.com/imangadzhi/
ImanGadzhi,latest,"Give me 33 minutes & I’ll Show You How To Make $10,000/pm with Online Coaching",guest,"give, me, minutes, i, ll, show, make, online, coaching","DM me 'COACH' to start: https://www.instagram.com/imangadzhi/
Watch This Video Next: https://youtu.be/5pAQcC9YniM"
ImanGadzhi,latest,Trying To Make $1Billion Before 30 (Vlog),other,"trying, make, before, vlog","Apply for Lyra early access & $400 free credit: https://lyra.so/iman

More stuff here: https://www.instagram.com/imangadzhi/"
ImanGadzhi,latest,The Ultimate Guide to Start SMMA From Scratch In 2025,other,"ultimate, guide, start, smma, scratch",DM me 'PERSONAL BRAND' to start: https://www.instagram.com/imangadzhi/
ImanGadzhi,latest,How To Start A Personal Brand in 2025 (Step-by-Step),question,"start, personal, brand",DM me 'PERSONAL BRAND' to start: https://www.instagram.com/imangadzhi/
ImanGadzhi,latest,Real Day In A Life of a Multi-Millionaire In 2025,other,"real, day, life",More stuff here: https://www.instagram.com/imangadzhi/
ImanGadzhi,latest,"Give me 39 minutes, and I'll show you how to start a YouTube Channel from Zero",other,"give, me, minutes, i, show, start, youtube, channel, zero","Watch my 9 year journey on Youtube: https://youtu.be/3iYD9WrRvLA?si=Dh3gUnXc1tsUVo-h

Instagram: @ImanGadzhi"
ImanGadzhi,latest,I Recorded My Entire Life Since I Was Broke,other,"i, recorded, entire, life, since, was, broke",Instagram: @ImanGadzhi
AlexHormozi,top,4 Paths To Ultra Wealth,listicle,"paths, ultra, wealth","Download your free scaling roadmap here: https://www.acquisition.com/roadmap
The easiest business I can help you start (free trial): https://www.skool.com/games

If you’re new to my channel, my name is Alex Hormozi. I’m the founder and managing partner of Acquisition.com. It’s a family office, which is just a formal way of saying we invest our own money into companies. Our 10 portfolio companies bring in over $250,000,000+ per year. Our ownership stake varies between 20% and 100% of them. Given this is a YT channel, and anyone can claim anything, I’ll give you some stuff you can google to verify below.

How I got here…

21: Graduated Vanderbilt in 3 years Magna Cum Laude, and took a fancy consulting job.
23 yrs old: Left my fancy consulting job to start a business (a gym).
24 yrs old: Opened 5 gym locations.
26 yrs old: Closed down 6th gym. Lost everything. 
26 yrs old: Got back to launching gyms (launched 33). Then, lost everything for a 2nd time. 
26 yrs old: In desperation, started licensing model as a hail mary. It worked. 
27 yrs old: ""Gym Launch"" does $3M profit the next 6 months. Then $17M profit next 12 months.
28 yrs old: Started Prestige Labs. $20M the first year.  
29 yrs old: Launched ALAN, a software company for agencies to work leads for customers. Scaled to $1.7mmo within 6 months. 
31 yrs old: Sold 75% of UseAlan to a strategic buyer in an all stock deal. 
31 yrs old: Sold 66% of Gym Launch & Prestige Labs at $46.2M valuation in all-cash deal to American Pacific Group. (you can google it)
31 yrs old: Started our family office Acquisition.com. We invest and scale companies using the $42M in distributions we had taken + the cash from the $46.2M exit.
32 yrs old: Started making free content showing how we grow companies to make real business education accessible to everyone (and) to attract business owners to invest or scale their businesses. 
34 yrs old: I became co-owner of https://Skool.com to help the many people who want to start a business online do so.

Today: Our portfolio now does $200M/yr between 10 companies. The largest doing $100M/yr the smallest doing $5M per year. Our ownership varies between 20% and 100% ownership of the companies. Many of them we invested in early and helped grow (which is how we make our money - not youtube videos).

To all the gladiators in the arena, we’re all in the middle of writing our own stories. The worse the monsters, the more epic the story.

You either get an epic outcome or an epic story. Both mean you win. 

Keep crushing. May your desires be greater than your obstacles. 

Never quit,

Alex

DISCLOSURE 
Information shared here is for educational purposes only.  Individuals and business owners should evaluate their own business strategies, and identify any potential risks.  The information shared here is not a guarantee of success. Your results may vary.
Copyright © 2025."
AlexHormozi,top,How To Avoid Giving A Discount,question,"avoid, giving, discount","Download your free scaling roadmap here: https://www.acquisition.com/roadmap
The easiest business I can help you start (free trial): https://www.skool.com/games

If you’re new to my channel, my name is Alex Hormozi. I’m the founder and managing partner of Acquisition.com. It’s a family office, which is just a formal way of saying we invest our own money into companies. Our 10 portfolio companies bring in over $250,000,000+ per year. Our ownership stake varies between 20% and 100% of them. Given this is a YT channel, and anyone can claim anything, I’ll give you some stuff you can google to verify below.

How I got here…

21: Graduated Vanderbilt in 3 years Magna Cum Laude, and took a fancy consulting job.
23 yrs old: Left my fancy consulting job to start a business (a gym).
24 yrs old: Opened 5 gym locations.
26 yrs old: Closed down 6th gym. Lost everything. 
26 yrs old: Got back to launching gyms (launched 33). Then, lost everything for a 2nd time. 
26 yrs old: In desperation, started licensing model as a hail mary. It worked. 
27 yrs old: ""Gym Launch"" does $3M profit the next 6 months. Then $17M profit next 12 months.
28 yrs old: Started Prestige Labs. $20M the first year.  
29 yrs old: Launched ALAN, a software company for agencies to work leads for customers. Scaled to $1.7mmo within 6 months. 
31 yrs old: Sold 75% of UseAlan to a strategic buyer in an all stock deal. 
31 yrs old: Sold 66% of Gym Launch & Prestige Labs at $46.2M valuation in all-cash deal to American Pacific Group. (you can google it)
31 yrs old: Started our family office Acquisition.com. We invest and scale companies using the $42M in distributions we had taken + the cash from the $46.2M exit.
32 yrs old: Started making free content showing how we grow companies to make real business education accessible to everyone (and) to attract business owners to invest or scale their businesses. 
34 yrs old: I became co-owner of https://Skool.com to help the many people who want to start a business online do so.

Today: Our portfolio now does $200M/yr between 10 companies. The largest doing $100M/yr the smallest doing $5M per year. Our ownership varies between 20% and 100% ownership of the companies. Many of them we invested in early and helped grow (which is how we make our money - not youtube videos).

To all the gladiators in the arena, we’re all in the middle of writing our own stories. The worse the monsters, the more epic the story.

You either get an epic outcome or an epic story. Both mean you win. 

Keep crushing. May your desires be greater than your obstacles. 

Never quit,

Alex

DISCLOSURE 
Information shared here is for educational purposes only.  Individuals and business owners should evaluate their own business strategies, and identify any potential risks.  The information shared here is not a guarantee of success. Your results may vary.
Copyright © 2025."
AlexHormozi,top,MrBeast On His Mental Health,guest,"mrbeast, his, mental, health","Download your free scaling roadmap here: https://www.acquisition.com/roadmap
The easiest business I can help you start (free trial): https://www.skool.com/games

If you’re new to my channel, my name is Alex Hormozi. I’m the founder and managing partner of Acquisition.com. It’s a family office, which is just a formal way of saying we invest our own money into companies. Our 10 portfolio companies bring in over $250,000,000+ per year. Our ownership stake varies between 20% and 100% of them. Given this is a YT channel, and anyone can claim anything, I’ll give you some stuff you can google to verify below.

How I got here…

21: Graduated Vanderbilt in 3 years Magna Cum Laude, and took a fancy consulting job.
23 yrs old: Left my fancy consulting job to start a business (a gym).
24 yrs old: Opened 5 gym locations.
26 yrs old: Closed down 6th gym. Lost everything. 
26 yrs old: Got back to launching gyms (launched 33). Then, lost everything for a 2nd time. 
26 yrs old: In desperation, started licensing model as a hail mary. It worked. 
27 yrs old: ""Gym Launch"" does $3M profit the next 6 months. Then $17M profit next 12 months.
28 yrs old: Started Prestige Labs. $20M the first year.  
29 yrs old: Launched ALAN, a software company for agencies to work leads for customers. Scaled to $1.7mmo within 6 months. 
31 yrs old: Sold 75% of UseAlan to a strategic buyer in an all stock deal. 
31 yrs old: Sold 66% of Gym Launch & Prestige Labs at $46.2M valuation in all-cash deal to American Pacific Group. (you can google it)
31 yrs old: Started our family office Acquisition.com. We invest and scale companies using the $42M in distributions we had taken + the cash from the $46.2M exit.
32 yrs old: Started making free content showing how we grow companies to make real business education accessible to everyone (and) to attract business owners to invest or scale their businesses. 
34 yrs old: I became co-owner of https://Skool.com to help the many people who want to start a business online do so.

Today: Our portfolio now does $200M/yr between 10 companies. The largest doing $100M/yr the smallest doing $5M per year. Our ownership varies between 20% and 100% ownership of the companies. Many of them we invested in early and helped grow (which is how we make our money - not youtube videos).

To all the gladiators in the arena, we’re all in the middle of writing our own stories. The worse the monsters, the more epic the story.

You either get an epic outcome or an epic story. Both mean you win. 

Keep crushing. May your desires be greater than your obstacles. 

Never quit,

Alex

DISCLOSURE 
Information shared here is for educational purposes only.  Individuals and business owners should evaluate their own business strategies, and identify any potential risks.  The information shared here is not a guarantee of success. Your results may vary.
Copyright © 2025."
AlexHormozi,top,Your First $100K,guest,first,"Want my books for free? Go here: https://www.acquisition.com/audiobooks
The easiest business I can help you start (free trial): https://www.skool.com/games

If you’re new to my channel, my name is Alex Hormozi. I’m the founder and managing partner of Acquisition.com. It’s a family office, which is just a formal way of saying we invest our own money into companies. Our 10 portfolio companies bring in over $250,000,000+ per year. Our ownership stake varies between 20% and 100% of them. Given this is a YT channel, and anyone can claim anything, I’ll give you some stuff you can google to verify below.

How I got here…

21: Graduated Vanderbilt in 3 years Magna Cum Laude, and took a fancy consulting job.
23 yrs old: Left my fancy consulting job to start a business (a gym).
24 yrs old: Opened 5 gym locations.
26 yrs old: Closed down 6th gym. Lost everything. 
26 yrs old: Got back to launching gyms (launched 33). Then, lost everything for a 2nd time. 
26 yrs old: In desperation, started licensing model as a hail mary. It worked. 
27 yrs old: ""Gym Launch"" does $3M profit the next 6 months. Then $17M profit next 12 months.
28 yrs old: Started Prestige Labs. $20M the first year.  
29 yrs old: Launched ALAN, a software company for agencies to work leads for customers. Scaled to $1.7mmo within 6 months. 
31 yrs old: Sold 75% of UseAlan to a strategic buyer in an all stock deal. 
31 yrs old: Sold 66% of Gym Launch & Prestige Labs at $46.2M valuation in all-cash deal to American Pacific Group. (you can google it)
31 yrs old: Started our family office Acquisition.com. We invest and scale companies using the $42M in distributions we had taken + the cash from the $46.2M exit.
32 yrs old: Started making free content showing how we grow companies to make real business education accessible to everyone (and) to attract business owners to invest or scale their businesses. 
34 yrs old: I became co-owner of https://Skool.com to help the many people who want to start a business online do so.

Today: Our portfolio now does $200M/yr between 10 companies. The largest doing $100M/yr the smallest doing $5M per year. Our ownership varies between 20% and 100% ownership of the companies. Many of them we invested in early and helped grow (which is how we make our money - not youtube videos).

To all the gladiators in the arena, we’re all in the middle of writing our own stories. The worse the monsters, the more epic the story.

You either get an epic outcome or an epic story. Both mean you win. 

Keep crushing. May your desires be greater than your obstacles. 

Never quit,

Alex

DISCLOSURE 
Information shared here is for educational purposes only.  Individuals and business owners should evaluate their own business strategies, and identify any potential risks.  The information shared here is not a guarantee of success. Your results may vary.
Copyright © 2025."
AlexHormozi,top,The Right Thing At The Wrong Time,guest,"right, thing, wrong, time","Download your free scaling roadmap here: https://www.acquisition.com/roadmap
The easiest business I can help you start (free trial): https://www.skool.com/games

If you’re new to my channel, my name is Alex Hormozi. I’m the founder and managing partner of Acquisition.com. It’s a family office, which is just a formal way of saying we invest our own money into companies. Our 10 portfolio companies bring in over $250,000,000+ per year. Our ownership stake varies between 20% and 100% of them. Given this is a YT channel, and anyone can claim anything, I’ll give you some stuff you can google to verify below.

How I got here…

21: Graduated Vanderbilt in 3 years Magna Cum Laude, and took a fancy consulting job.
23 yrs old: Left my fancy consulting job to start a business (a gym).
24 yrs old: Opened 5 gym locations.
26 yrs old: Closed down 6th gym. Lost everything. 
26 yrs old: Got back to launching gyms (launched 33). Then, lost everything for a 2nd time. 
26 yrs old: In desperation, started licensing model as a hail mary. It worked. 
27 yrs old: ""Gym Launch"" does $3M profit the next 6 months. Then $17M profit next 12 months.
28 yrs old: Started Prestige Labs. $20M the first year.  
29 yrs old: Launched ALAN, a software company for agencies to work leads for customers. Scaled to $1.7mmo within 6 months. 
31 yrs old: Sold 75% of UseAlan to a strategic buyer in an all stock deal. 
31 yrs old: Sold 66% of Gym Launch & Prestige Labs at $46.2M valuation in all-cash deal to American Pacific Group. (you can google it)
31 yrs old: Started our family office Acquisition.com. We invest and scale companies using the $42M in distributions we had taken + the cash from the $46.2M exit.
32 yrs old: Started making free content showing how we grow companies to make real business education accessible to everyone (and) to attract business owners to invest or scale their businesses. 
34 yrs old: I became co-owner of https://Skool.com to help the many people who want to start a business online do so.

Today: Our portfolio now does $200M/yr between 10 companies. The largest doing $100M/yr the smallest doing $5M per year. Our ownership varies between 20% and 100% ownership of the companies. Many of them we invested in early and helped grow (which is how we make our money - not youtube videos).

To all the gladiators in the arena, we’re all in the middle of writing our own stories. The worse the monsters, the more epic the story.

You either get an epic outcome or an epic story. Both mean you win. 

Keep crushing. May your desires be greater than your obstacles. 

Never quit,

Alex

DISCLOSURE 
Information shared here is for educational purposes only.  Individuals and business owners should evaluate their own business strategies, and identify any potential risks.  The information shared here is not a guarantee of success. Your results may vary.
Copyright © 2025."
AlexHormozi,top,You Can Beat Anyone,guest,"can, beat, anyone","Download your free scaling roadmap here: https://www.acquisition.com/roadmap
The easiest business I can help you start (free trial): https://www.skool.com/games

If you’re new to my channel, my name is Alex Hormozi. I’m the founder and managing partner of Acquisition.com. It’s a family office, which is just a formal way of saying we invest our own money into companies. Our 10 portfolio companies bring in over $250,000,000+ per year. Our ownership stake varies between 20% and 100% of them. Given this is a YT channel, and anyone can claim anything, I’ll give you some stuff you can google to verify below.

How I got here…

21: Graduated Vanderbilt in 3 years Magna Cum Laude, and took a fancy consulting job.
23 yrs old: Left my fancy consulting job to start a business (a gym).
24 yrs old: Opened 5 gym locations.
26 yrs old: Closed down 6th gym. Lost everything. 
26 yrs old: Got back to launching gyms (launched 33). Then, lost everything for a 2nd time. 
26 yrs old: In desperation, started licensing model as a hail mary. It worked. 
27 yrs old: ""Gym Launch"" does $3M profit the next 6 months. Then $17M profit next 12 months.
28 yrs old: Started Prestige Labs. $20M the first year.  
29 yrs old: Launched ALAN, a software company for agencies to work leads for customers. Scaled to $1.7mmo within 6 months. 
31 yrs old: Sold 75% of UseAlan to a strategic buyer in an all stock deal. 
31 yrs old: Sold 66% of Gym Launch & Prestige Labs at $46.2M valuation in all-cash deal to American Pacific Group. (you can google it)
31 yrs old: Started our family office Acquisition.com. We invest and scale companies using the $42M in distributions we had taken + the cash from the $46.2M exit.
32 yrs old: Started making free content showing how we grow companies to make real business education accessible to everyone (and) to attract business owners to invest or scale their businesses. 
34 yrs old: I became co-owner of https://Skool.com to help the many people who want to start a business online do so.

Today: Our portfolio now does $200M/yr between 10 companies. The largest doing $100M/yr the smallest doing $5M per year. Our ownership varies between 20% and 100% ownership of the companies. Many of them we invested in early and helped grow (which is how we make our money - not youtube videos).

To all the gladiators in the arena, we’re all in the middle of writing our own stories. The worse the monsters, the more epic the story.

You either get an epic outcome or an epic story. Both mean you win. 

Keep crushing. May your desires be greater than your obstacles. 

Never quit,

Alex

DISCLOSURE 
Information shared here is for educational purposes only.  Individuals and business owners should evaluate their own business strategies, and identify any potential risks.  The information shared here is not a guarantee of success. Your results may vary.
Copyright © 2025."
AlexHormozi,top,Real Shortcut To Success,guest,"real, shortcut, success","Download your free scaling roadmap here: https://www.acquisition.com/roadmap
The easiest business I can help you start (free trial): https://www.skool.com/games

If you’re new to my channel, my name is Alex Hormozi. I’m the founder and managing partner of Acquisition.com. It’s a family office, which is just a formal way of saying we invest our own money into companies. Our 10 portfolio companies bring in over $250,000,000+ per year. Our ownership stake varies between 20% and 100% of them. Given this is a YT channel, and anyone can claim anything, I’ll give you some stuff you can google to verify below.

How I got here…

21: Graduated Vanderbilt in 3 years Magna Cum Laude, and took a fancy consulting job.
23 yrs old: Left my fancy consulting job to start a business (a gym).
24 yrs old: Opened 5 gym locations.
26 yrs old: Closed down 6th gym. Lost everything. 
26 yrs old: Got back to launching gyms (launched 33). Then, lost everything for a 2nd time. 
26 yrs old: In desperation, started licensing model as a hail mary. It worked. 
27 yrs old: ""Gym Launch"" does $3M profit the next 6 months. Then $17M profit next 12 months.
28 yrs old: Started Prestige Labs. $20M the first year.  
29 yrs old: Launched ALAN, a software company for agencies to work leads for customers. Scaled to $1.7mmo within 6 months. 
31 yrs old: Sold 75% of UseAlan to a strategic buyer in an all stock deal. 
31 yrs old: Sold 66% of Gym Launch & Prestige Labs at $46.2M valuation in all-cash deal to American Pacific Group. (you can google it)
31 yrs old: Started our family office Acquisition.com. We invest and scale companies using the $42M in distributions we had taken + the cash from the $46.2M exit.
32 yrs old: Started making free content showing how we grow companies to make real business education accessible to everyone (and) to attract business owners to invest or scale their businesses. 
34 yrs old: I became co-owner of https://Skool.com to help the many people who want to start a business online do so.

Today: Our portfolio now does $200M/yr between 10 companies. The largest doing $100M/yr the smallest doing $5M per year. Our ownership varies between 20% and 100% ownership of the companies. Many of them we invested in early and helped grow (which is how we make our money - not youtube videos).

To all the gladiators in the arena, we’re all in the middle of writing our own stories. The worse the monsters, the more epic the story.

You either get an epic outcome or an epic story. Both mean you win. 

Keep crushing. May your desires be greater than your obstacles. 

Never quit,

Alex

DISCLOSURE 
Information shared here is for educational purposes only.  Individuals and business owners should evaluate their own business strategies, and identify any potential risks.  The information shared here is not a guarantee of success. Your results may vary.
Copyright © 2025."
AlexHormozi,top,Why People Stay Average,question,"people, stay, average","Download your free scaling roadmap here: https://www.acquisition.com/roadmap
The easiest business I can help you start (free trial): https://www.skool.com/games

If you’re new to my channel, my name is Alex Hormozi. I’m the founder and managing partner of Acquisition.com. It’s a family office, which is just a formal way of saying we invest our own money into companies. Our 10 portfolio companies bring in over $250,000,000+ per year. Our ownership stake varies between 20% and 100% of them. Given this is a YT channel, and anyone can claim anything, I’ll give you some stuff you can google to verify below.

How I got here…

21: Graduated Vanderbilt in 3 years Magna Cum Laude, and took a fancy consulting job.
23 yrs old: Left my fancy consulting job to start a business (a gym).
24 yrs old: Opened 5 gym locations.
26 yrs old: Closed down 6th gym. Lost everything. 
26 yrs old: Got back to launching gyms (launched 33). Then, lost everything for a 2nd time. 
26 yrs old: In desperation, started licensing model as a hail mary. It worked. 
27 yrs old: ""Gym Launch"" does $3M profit the next 6 months. Then $17M profit next 12 months.
28 yrs old: Started Prestige Labs. $20M the first year.  
29 yrs old: Launched ALAN, a software company for agencies to work leads for customers. Scaled to $1.7mmo within 6 months. 
31 yrs old: Sold 75% of UseAlan to a strategic buyer in an all stock deal. 
31 yrs old: Sold 66% of Gym Launch & Prestige Labs at $46.2M valuation in all-cash deal to American Pacific Group. (you can google it)
31 yrs old: Started our family office Acquisition.com. We invest and scale companies using the $42M in distributions we had taken + the cash from the $46.2M exit.
32 yrs old: Started making free content showing how we grow companies to make real business education accessible to everyone (and) to attract business owners to invest or scale their businesses. 
34 yrs old: I became co-owner of https://Skool.com to help the many people who want to start a business online do so.

Today: Our portfolio now does $200M/yr between 10 companies. The largest doing $100M/yr the smallest doing $5M per year. Our ownership varies between 20% and 100% ownership of the companies. Many of them we invested in early and helped grow (which is how we make our money - not youtube videos).

To all the gladiators in the arena, we’re all in the middle of writing our own stories. The worse the monsters, the more epic the story.

You either get an epic outcome or an epic story. Both mean you win. 

Keep crushing. May your desires be greater than your obstacles. 

Never quit,

Alex

DISCLOSURE 
Information shared here is for educational purposes only.  Individuals and business owners should evaluate their own business strategies, and identify any potential risks.  The information shared here is not a guarantee of success. Your results may vary.
Copyright © 2025."
