Kanal,Analiz Türü,Başlık Tipi Dağılımı,En Sık Başlık Başlangıçları (ilk 2 kelime),En Sık Başlık Başlangıçları (ilk 3 kelime),En Sık Başlık Başlangıçları (ilk 4 kelime),En Sık Başlık Formülleri
ImanGadzhiBusiness,top,"other: 9 (47%), story/personal: 5 (26%), howto: 2 (10%), guest/interview: 1 (5%), comparison: 1 (5%), secret/truth: 1 (5%)","""How I"" (4), ""How To"" (1), ""how I"" (1)","""How To Make"" (1), ""How I Built"" (1), ""how I made"" (1)","""How To Make $100,000"" (1), ""How I Built a"" (1), ""how I made $92.7M"" (1)","""X X X X X T X X (Z)"" (1), ""X I X a XM X X (Z)"" (1), ""how I made XM with digital products so you can just copy me"" (1), ""X I X X X X YouTube X"" (1), ""X X X X X X X+ a T X X | *X X"" (1)"
TonyRobbinsLive,latest,"other: 5 (50%), question: 2 (20%), howto: 1 (10%), warning/negative: 1 (10%), guest/interview: 1 (10%)","""Why Playing"" (1), ""How To"" (1), ""This Is"" (1)","""Why Playing It"" (1), ""How To Adapt"" (1), ""This Is Why"" (1)","""Why Playing It Safe"" (1), ""How To Adapt to"" (1), ""This Is Why You"" (1)","""X X X X X X X"" (1), ""X X X to AI X X's X X..."" (1), ""X X X X X X (Z)"" (1), ""X X, X X X"" (1), ""X X X X X X X X X"" (1)"
TonyRobbinsLive,top,"other: 15 (75%), guest/interview: 2 (10%), secret/truth: 1 (5%), howto: 1 (5%), question: 1 (5%)","""Jordan Peterson"" (1), ""These 3"" (1), ""The 2"" (1)","""Jordan Peterson -"" (1), ""These 3 Questions"" (1), ""The 2 Things"" (1)","""Jordan Peterson - ""Most"" (1), ""These 3 Questions Will"" (1), ""The 2 Things That"" (1)","""X X - ""X X X X TOO LATE X X"""" (1), ""X X X X X X X X EVERYTHING!"" (1), ""X X X X X X X of X X"" (1), ""X X X X X X X X X"" (1), """"X X PROOF X X X X X"" - X X X"" (1)"
"deangraziosi,",latest,"other: 4 (40%), warning/negative: 2 (20%), question: 1 (10%), howto: 1 (10%), contrast: 1 (10%), secret/truth: 1 (10%)","""The Billion"" (1), ""Inflation’s Up."" (1), ""The Recession-Proof"" (1)","""The Billion Dollar"" (1), ""Inflation’s Up. Stability’s"" (1), ""The Recession-Proof Blueprint"" (1)","""The Billion Dollar Industry"" (1), ""Inflation’s Up. Stability’s Down."" (1), ""The Recession-Proof Blueprint They"" (1)","""X X X X X’s X X (Z)"" (1), ""X’s X. X’s X. X’s X X X X X (Z)"" (1), ""X X-X X X X X X (Z)"" (1), ""X X? X’s X I X X X I X X X X X"" (1), ""X X X X X A X X X X (Z)"" (1)"
"deangraziosi,",top,"other: 16 (80%), howto: 3 (15%), question: 1 (5%)","""Weekly Wisdom"" (3), ""How To"" (2), ""If You"" (2)","""If You Want"" (2), ""Who is Dean"" (1), ""The Journal Exercise"" (1)","""Who is Dean Graziosi?"" (1), ""The Journal Exercise That"" (1), ""How To Turn Your"" (1)","""X is X X? (Z)"" (1), ""X X X X X X X - X X X"" (1), ""X X X X X X X"" (1), ""X he really made X last T...(Z)"" (1), ""X X X X X X T X"" (1)"
gurkanzone,latest,"other: 9 (90%), contrast: 1 (10%)","""Özgürlüğe ulaşmak"" (1), ""Şirketinizin sonunu"" (1), ""Kolay bir"" (1)","""Özgürlüğe ulaşmak için"" (1), ""Şirketinizin sonunu getirebilir!"" (1), ""Kolay bir yolu"" (1)","""Kolay bir yolu yok!"" (1), ""Burak Kılıçgil ile Podcast"" (1), ""'Huzur İçin Çalışıyorum' -"" (1)","""Özgürlüğe ulaşmak için"" (1), ""Şirketinizin sonunu getirebilir!"" (1), ""X bir yolu yok!"" (1), ""X Kılıçgil ile X"" (1), ""'X İçin Çalışıyorum' - X"" (1)"
gurkanzone,top,"other: 11 (55%), question: 5 (25%), contrast: 4 (20%)","""Amerika -"" (2), ""2025'te E-Ticaret"" (1), ""İlk 10"" (1)","""Amerika - Çin"" (2), ""2025'te E-Ticaret Yapmak"" (1), ""İlk 10 Günde"" (1)","""2025'te E-Ticaret Yapmak İçin"" (1), ""İlk 10 Günde Bunu"" (1), ""30 Bin TL Sermaye"" (1)","""X'te E-X X İçin X İzleyin."" (1), ""İlk X Günde X X (Z)"" (1), ""X X TL X %X Karlı İş X"" (1), ""Sıfırdan Nasıl X Kurarsın?"" (1), ""E-X İçin X X X Lazım? (Z)"" (1)"
johnnyharris,latest,"other: 5 (50%), question: 5 (50%)","""Inside the"" (1), ""The Poverty"" (1), ""Why the"" (1)","""Inside the Most"" (1), ""The Poverty Industrial"" (1), ""Why the U.S."" (1)","""Inside the Most Prepared"" (1), ""The Poverty Industrial Complex"" (1), ""Why the U.S. Abandoned"" (1)","""X X X X"" (2), ""X the X X X on X"" (1), ""X the U.S. X X X (Z)"" (1), ""X might be deployed on...rockets?!"" (1), ""X X, X"" (1)"
johnnyharris,top,"question: 11 (55%), other: 6 (30%), contrast: 1 (5%), secret/truth: 1 (5%), listicle: 1 (5%)","""The U.S."" (1), ""China just"" (1), ""How Much"" (1)","""The U.S. Just"" (1), ""China just violated"" (1), ""How Much $$$"" (1)","""The U.S. Just Got"" (1), ""China just violated Japan’s"" (1), ""How Much $$$ Is"" (1)","""X U.S. X X X"" (1), ""X just violated X’s airspace (Z)"" (1), ""X X $$$ X X X X’s X?"" (1), ""X X wants a X X X X"" (1), ""X are freaking SCARY"" (1)"
neilpatel,latest,"other: 7 (70%), question: 2 (20%), comparison: 1 (10%)","""Build a"" (1), ""Why Your"" (1), ""Invest in"" (1)","""Build a brand"" (1), ""Why Your Net"" (1), ""Invest in real-estate"" (1)","""Build a brand that"" (1), ""Why Your Net Worth"" (1), ""Blow up a personal"" (1)","""X a brand that lasts forever"" (1), ""X X X X X X XK"" (1), ""X in real-estate"" (1), ""X up a personal brand"" (1), ""X millionaire business"" (1)"
neilpatel,top,"other: 8 (40%), howto: 5 (25%), contrast: 2 (10%), question: 2 (10%), story/personal: 1 (5%), comparison: 1 (5%), guest/interview: 1 (5%)","""How to"" (4), ""How I"" (1), ""If I"" (1)","""How to Build"" (2), ""How to Get"" (1), ""How I Built"" (1)","""How to Build a"" (2), ""How to Get Rich"" (1), ""How I Built a"" (1)","""X to X X in the X X of A.I. (Z)"" (1), ""X I X a XM X X X X"" (1), ""X to X X X in X [COMPLETE GUIDE]"" (1), ""X I X to X a X in X T, X is X I’d X"" (1), ""X X X T to X X X, X X X X it in X X"" (1)"
ozantarikcom,latest,"other: 6 (60%), contrast: 3 (30%), question: 1 (10%)","""Data Gücüyle"" (1), ""Doğru Ürün"" (1), ""Yapay Zekadan"" (1)","""Data Gücüyle Hedef"" (1), ""Doğru Ürün Fiyatlandırması"" (1), ""Yapay Zekadan Sonra"" (1)","""Data Gücüyle Hedef Kitlenizi"" (1), ""Doğru Ürün Fiyatlandırması Nasıl"" (1), ""Yapay Zekadan Sonra Meta"" (1)","""X Gücüyle X X Büyütmenin X X Yöntemleri"" (1), ""Doğru Ürün Fiyatlandırması Nasıl Yapılır? - HER ŞEYİ DEĞİŞTİRECEK O SATIŞ KURALI"" (1), ""X X X X X Görsel ve Videoları l HEDEF KİTLE TAHTINI KAYBETTİ!"" (1), ""X X X Satışların Çok Düştüyse ve Artıramıyorsan, X X İzle!"" (1), ""İnfluencer X X Kuralları Değişecek! - X Ortaklık Reklamlarındaki Büyük X"" (1)"
ozantarikcom,top,"other: 9 (45%), question: 8 (40%), contrast: 2 (10%), warning/negative: 1 (5%)","""Facebook Business"" (2), ""A'dan Z'ye"" (1), ""İnstagram'da Reklam"" (1)","""Facebook Business Manager"" (1), ""A'dan Z'ye İleri"" (1), ""İnstagram'da Reklam Verirken"" (1)","""Facebook Business Manager Kurulumu"" (1), ""A'dan Z'ye İleri Seviye"" (1), ""İnstagram'da Reklam Verirken Bu"" (1)","""X X X X - X"" (1), ""A'dan Z'ye İleri X X X! #metareklamları"" (1), ""İnstagram'da X X X Hataları Yapmayın! #instagramreklam"" (1), ""META PİKSEL VE KATALOG KURULUMU - X"" (1), ""X X & X Danışmanı Nasıl X?"" (1)"
psikologBeyhanBudak,latest,"other: 6 (60%), contrast: 2 (20%), question: 1 (10%), secret/truth: 1 (10%)","""Neden bu"" (1), ""Ya Mutluysak"" (1), ""Seni İstemeyen"" (1)","""Neden bu kadar"" (1), ""Ya Mutluysak ama"" (1), ""Seni İstemeyen Birisini"" (1)","""Neden bu kadar fedakarsın?"" (1), ""Ya Mutluysak ama Farkında"" (1), ""Seni İstemeyen Birisini Unutmak"" (1)","""X bu kadar fedakarsın?"" (1), ""X X ama Farkında Değilsek!"" (1), ""X İstemeyen X X İçin X Öneri"" (1), ""X Tanımak İçin X Sağlam X"" (1), ""Mükemmel İnsanı Arıyorsan X Tuzağa Düşebilirsin"" (1)"
psikologBeyhanBudak,top,"other: 11 (55%), contrast: 4 (20%), question: 3 (15%), secret/truth: 1 (5%), warning/negative: 1 (5%)","""Ruh Yorgunluğu"" (1), ""21 Gün"" (1), ""Saygısızlık yaşadığında"" (1)","""Ruh Yorgunluğu ve"" (1), ""21 Gün Tekniği"" (1), ""Saygısızlık yaşadığında bu"" (1)","""Ruh Yorgunluğu ve Aşırı"" (1), ""21 Gün Tekniği ile"" (1), ""Saygısızlık yaşadığında bu oluyorsa"" (1)","""X Yorgunluğu ve Aşırı Bunalmışlık Nasıl Geçer?"" (1), ""X Gün Tekniği ile X ve Hayatını Nasıl Değiştirirsin?"" (1), ""Saygısızlık yaşadığında bu oluyorsa dikkat"" (1), ""İradeni Geliştirmek İçin X X"" (1), ""Kaybettiğin Yaşama X X Nasıl Kazanırsın?"" (1)"
tailopez,top,"other: 9 (64%), howto: 2 (14%), question: 1 (7%), guest/interview: 1 (7%), contrast: 1 (7%)","""How To"" (2), ""A lot"" (1), ""A college"" (1)","""A lot of"" (1), ""A college degree"" (1), ""Have the ability"" (1)","""A lot of dudes"" (1), ""A college degree doesn’t"" (1), ""Have the ability to"" (1)","""A lot of dudes who became cops were close to being criminals."" (1), ""A college degree doesn’t guarantee high income..."" (1), ""X the ability to pay attention for a long time to one thing."" (1), ""X be a X all the time..."" (1), ""X said, the strongest warriors are time and patience. #tolstoy #time #patience"" (1)"
thefutur,top,"howto: 1 (50%), question: 1 (50%)","""How To"" (1), ""Are You"" (1)","""How To Tell"" (1), ""Are You Stuck"" (1)","""How To Tell Better"" (1), ""Are You Stuck in"" (1)","""X X X X X on X X (Z)"" (1), ""X X X in the X X X X X?"" (1)"
